message,label
"Wielding a scythe and covered in bandages. “When I see happy people, I have the urge to kill them” He believes he is normal. Zack will be performed by The Ripper’s S Costume Package during the Crossover! “I swear I gonna kill you...” #IdentityV #Angelsofdeath",3
"""touch her and I'll kill you"" and it's a contemporary workplace romance book lmao pls stop",3
“self harm can kill you” my honest reaction,3
"Never forget that the experts are either very very stupid and immoral, or they consciously want to kill you. Don’t ever let them shame you for being logical and accurate. Their words have no actual effect on reality unless you allow them to. When a minority of us refuse to comply…",3
"This is a Police target black Americans. Walking down the street and they have no reason to approach you. And then the escalate and kill African-Americans. And then media and Society, so they fear for their lives",3
"""Police have a right to shoot and kill you""

~Uganda Security Minister 1936
#UgandaSecurityExhibition",3
Imran khan has woken the nation. He is an ideology & its roots has been injected in the hearts & minds of 330 million Pakistanis. How many will you kill ? History tells us ideology has never been crushed.,3
- Do it and I will cut you,3
I will ki ll you and wear your skin like a robe!,3
. J Delanoys house is going to be fire bombed!!,3
"“you need to lift my tits, come on.” “that’s a good gig” “not really. he’s gay. he hates this” “he wants to kill me right now”",3
"“I’m gonna kill you. Not today, not tomorrow…but I’m gonna kill you.” “I’m gonna kill you. I’m gonna kill you!”",3
"This obsession with Bonang that ya'll have is unhealthy. You are willing to ignore her horrible behavior towards Luis and kill Khanyi & Nadia for refusing to worship her  uyanihlanyisa lo Bonang wenu,she's just human like all of us -relax iyhooo #YoungFamousAfrican",3
GET OFF ME ILL KILL YOU ILL I SWEAR KILL YO-,3
why did you kill tanjiro's family?,3
What do you mean end of the month is only next week? Is May tryng to kill us?,3
"Kill one, you are a murderer, kill a hundred, you are a hero. Kill everyone and you will be turning into a god! So, do you believe in miracles little girl? I don't!",3
"""save me, kill me"" translation from lyric poster! “yes anger and joy, yes you can always save me and then kill me nobody only you”",3
"What you guys don't understand here is MK was shown to have a very bad ego & anger issues which people denied&defended before.The man will kill & die for Meerab but he just cannot handle criticism,extreme one at that & hence let's his beast over power his love for her.",3
"You see, they did not kill. What’s going on. You see the difference when they suffer from mental illness. But I will people deserve to be killed. Hello democrat and republican politicians. Welcome to the US system.",3
"people at raves kill me , “you lead” “i have no sense of direction”",3
Can you kill your ex for 4M ?,3
"The greatest threat to the state is peace, cooperation, prosperity and, ultimately, your survival. It needs you to be desperately impoverished and at odds with your neighbor so it can kill you.",3
How many kill you got,3
"#AMBERFREEMAN: you the type to kill me, I won't touch you",3
"huyy honestly if Boss is able to release this song, p'year can guarantee that it will certainly get Perfect All Kill. I'll say it will reach the Melon Chart B: hoyy thank you",3
"“Two to three steps ahead, beating an enemy’s move before it’s even made, that’s a plan!… General Tuco, you are currently engaged in unauthorized warfare on United States Military Personnel.” 1943 by Elite Study the enemy’s patterns. Kill ‘em all! That’s the plan",3
"I survived, literally #Hiking through the #jungle in #Sumatra where everything can kill you was challenging! It was the hardest thing I ever done, but the most rewarding as I got to see wild #orangutans & so many #spiders, #snakes, #monkeys and #butterflies! #NorthSumatra",3
Your obsession with breast might kill you.,3
If you like kill yourself for people.. Some people will still not like the way you killed yourself,3
